"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1800582495769067654","Tue Jun 11 17:34:54 +0000 2024","0","baru nyadar tadi ditilep duitnya sama kasir @Indomaret huhuhu beli 1 ayam 1 nasi malah discan 2 ayam.... rugi 8.5k https://t.co/9LDWgcEQVW","1800582495769067654","https://pbs.twimg.com/media/GPz0PHwakAE9ry9.jpg","","in","","0","4","0","https://x.com/727O8/status/1800582495769067654","2758649289","727O8"
"1800042444207308896","Tue Jun 11 17:28:58 +0000 2024","0","@bebekpaud @FOODFESS2 indomaret aja dulu masuk namanya di plesetin jauh biar di izinin.","1800580999891607717","","bebekpaud","in","","0","0","0","https://x.com/Jeffiaan/status/1800580999891607717","822717812","Jeffiaan"
"1800580975375897036","Tue Jun 11 17:28:52 +0000 2024","0","Benerin app lo lemot bgt woy @Indomaret","1800580975375897036","","","in","","0","1","0","https://x.com/kangenbapamamah/status/1800580975375897036","1212266249041797122","kangenbapamamah"
"1800580933349003463","Tue Jun 11 17:28:42 +0000 2024","0","lucu bgt td nyebat sm bou di depan indomaret ngemper nunggu hujan reda (new core memory)","1800580933349003463","","","in","","0","0","0","https://x.com/yolkhaters/status/1800580933349003463","1452127894143062018","yolkhaters"
"1800578316875055538","Tue Jun 11 17:22:40 +0000 2024","1","Bisnis tidak ada yg instan sejauh ini franchise yg saya percaya cuman Indomaret dan Alfamart. Selain itu banyak gimmicknya","1800579415447097478","","kucingoranye0","in","","0","0","0","https://x.com/kucingoranye0/status/1800579415447097478","1396140547224444931","kucingoranye0"
"1800578892975235558","Tue Jun 11 17:20:35 +0000 2024","0","anjir nanti satu indomaret isinya sepentin semua ","1800578892975235558","","","in","she/her 03","0","0","0","https://x.com/foxywon_/status/1800578892975235558","1017021958284705797","foxywon_"
"1800578060208705926","Tue Jun 11 17:17:17 +0000 2024","0","Malam hari keluar rumah sendirian beli kopi di Indomaret cari tempat nyaman di pinggir jalan duduk trus pulang. Pernah!!","1800578060208705926","","","in","","0","0","0","https://x.com/malikalam_/status/1800578060208705926","1163605395094396928","malikalam_"
"1800499372582719775","Tue Jun 11 17:15:33 +0000 2024","0","@yallGallagher apa kata mama kalo gw keluar seharian ke indomaret..","1800577625775341844","","yallGallagher","in","","0","0","0","https://x.com/addctwmrj_/status/1800577625775341844","1276878903286456320","addctwmrj_"
"1800566370410881063","Tue Jun 11 17:05:19 +0000 2024","0","@akualfiandcndr Gatau ni mata bawaannya freshhhh kayak Indomaret","1800575049210208746","","akualfiandcndr","in","","0","0","0","https://x.com/syafakillahhhh/status/1800575049210208746","1246740533411581953","syafakillahhhh"
"1800573952085119174","Tue Jun 11 17:00:57 +0000 2024","0","mau sosis keju indomaret (i just ate it this afternoon)","1800573952085119174","","","in","19 🍉","0","0","0","https://x.com/R4YIK/status/1800573952085119174","1343822509284552704","R4YIK"
"1800569702961545675","Tue Jun 11 16:59:31 +0000 2024","1","@joijocokladd Beli nescafe ice black duduk di indomaret sambil bengong :)) best scene bngt","1800573589441433769","","joijocokladd","in","Tangerang, Indonesia","0","1","0","https://x.com/Hansswaan/status/1800573589441433769","1439653523470184449","Hansswaan"
"1800558229623345579","Tue Jun 11 16:04:37 +0000 2024","0","@theycallmee_G sotoy pula bilang cuma mampu beli indomaret wkwkwk","1800559774444232875","","theycallmee_G","in","Donegal, Ireland","0","0","0","https://x.com/diaumond/status/1800559774444232875","1132257602845401088","diaumond"
"1800559275489759244","Tue Jun 11 16:02:38 +0000 2024","0","sambel bawang Indomaret enak bgt","1800559275489759244","","","in","","0","0","0","https://x.com/jeongwo0o0oo0/status/1800559275489759244","1399389892237434883","jeongwo0o0oo0"
"1800558795640521205","Tue Jun 11 16:00:44 +0000 2024","0","oh iyaa pc noren gw jatoh di indomaret untung ada mba yang ngasig tau kalo pc gw jatoh (ini pake cahol ya gw gantung di tas) ","1800558795640521205","","","in","noren’s heart","0","1","0","https://x.com/caca_zc/status/1800558795640521205","1542911002442108929","caca_zc"
"1800403838236848408","Tue Jun 11 15:59:53 +0000 2024","0","@skfess @Stray_Kids gatau nder event yg di indomaret rada gajelas jirr ","1800558582221635659","","skfess","in","the von hagen estate","0","0","0","https://x.com/qisiliy/status/1800558582221635659","768671326693457920","qisiliy"
"1800513145448136727","Tue Jun 11 15:31:27 +0000 2024","0","@uinmalikifess Indomaret bilang bayar pajak motor bawa stnk dan ktp sama no telp beress klo pegawai indomaretnya pas yg bisa kadang ada tg gabisaa","1800551427653452128","","uinmalikifess","in","Malang, Jawa timur","0","1","0","https://x.com/slmrzkyml/status/1800551427653452128","1116849288653365248","slmrzkyml"
"1800358367015338149","Tue Jun 11 15:30:19 +0000 2024","0","@tirta_cipeng lagi cari protein source di indomaret baru ngehhh kacang kulit garing mengandung protein 8 g di setiap 28 g. agak kaget ternyata tinggi juga proteinnya. ngeri juga banyak org yg gak sadar makan satu bungkus 200 g ajah udah melebihi batas intake protein harian.","1800551139995422813","","tirta_cipeng","in","Tangerang, Indonesia","0","0","0","https://x.com/mitskyhaz/status/1800551139995422813","771134358","mitskyhaz"
"1800480402873983312","Tue Jun 11 15:24:11 +0000 2024","1","@jmazeey Pak! Mesin ATM di indomaret dekat rumah saya uangnya habis...","1800549598534181312","","jmazeey","in","★","0","0","0","https://x.com/JeronePulen/status/1800549598534181312","126882013","JeronePulen"
"1800548569784754495","Tue Jun 11 15:20:06 +0000 2024","0","Pernah di fase ini pulang kerja nangis mulu lanjut mampir beli eskrim di indomaret sambil merenung capek bgt YaTuhaann https://t.co/EdLJRcMfbr","1800548569784754495","https://pbs.twimg.com/media/GPzVYOqa4AAEwoi.jpg","","in","Semarang - Indonesia","0","0","0","https://x.com/oktavianirmala/status/1800548569784754495","1477819544","oktavianirmala"
"1800534723107963171","Tue Jun 11 15:19:10 +0000 2024","0","@flouvy_ akuu paling males kalo dah gini sering bangst digituin abang abang indomaret","1800548336065446248","","flouvy_","in","","0","1","0","https://x.com/jellyblastt/status/1800548336065446248","1152626381844467713","jellyblastt"
"1800547560987451548","Tue Jun 11 15:16:05 +0000 2024","1","Pantas cape sklika jauh sekali ternyata jalan kakiku Rumah ke dpn kompleks rs dadi ke mari keliling mari mandiri boulevard ke indomaret adiyaksa Menyala betiskuu","1800547560987451548","","","in","","0","0","0","https://x.com/ayskyim/status/1800547560987451548","1256605754900922368","ayskyim"
"1800546724622254154","Tue Jun 11 15:12:46 +0000 2024","0","ga nabrak si tp di depan Indomaret motornya terbang trs di hari yg sama di alfa jatoh gr ga bisa muter balik ga di indomart ga di alfa sm aja sial","1800546724622254154","","","in","","0","0","0","https://x.com/taltarasika/status/1800546724622254154","1309138046378442752","taltarasika"
"1800377278263914625","Tue Jun 11 15:09:48 +0000 2024","0","@ibas404 Percaya dong haha gabisa idup tuh lurus aja Rasulullah aja sebegitu mulianya masih ada yg benci apalagi w cuma seonggok daging. W sih gamasalah selama ga kedengeran sama w","1800545976920449498","","ibas404","in","Jakarta Barat, DKI Jakarta","0","0","0","https://x.com/Vanny_liana/status/1800545976920449498","71177869","Vanny_liana"
"1800543264258560157","Tue Jun 11 15:09:19 +0000 2024","0","@MEAVlTA Salonpasku banyak nih nnt kulempar ketempatmu ya? Tapi ambilnya di indomaret atau alfamart","1800545855336009791","","MEAVlTA","in","location unknow.","0","0","0","https://x.com/cirrihatus/status/1800545855336009791","3300832970","cirrihatus"
"1800385348075491533","Tue Jun 11 15:08:50 +0000 2024","1","@seungrmine Enggaaa aku baru punya ino sama ayen. Pen lengkap tp aku nargetin seungmin abin sama bangchan dulu soalnya di Dom ku susah banget nyarinya. Baru satu indomaret doang yg ada","1800545733365686505","","seungrmine","in","","0","1","0","https://x.com/reinnixv/status/1800545733365686505","1413544567933046787","reinnixv"
"1800545486853869621","Tue Jun 11 15:07:51 +0000 2024","0","epik dan tolol! otaknya isi sempak indomaret!","1800545486853869621","","","in","","0","1","0","https://x.com/asmirzakovic/status/1800545486853869621","170144877","asmirzakovic"
"1800545390187725251","Tue Jun 11 15:07:28 +0000 2024","0","lucu banget di indomaret point ada orang lagi ngelukisss","1800545390187725251","","","in","Cambridge MA, USA","0","0","0","https://x.com/nanaoo__/status/1800545390187725251","890656328","nanaoo__"
"1800531929181344065","Tue Jun 11 15:05:59 +0000 2024","0","@nisacheol WEWWWW makin nambah jajan indomaret nih","1800545018052288936","","nisacheol","in","2000.","0","0","0","https://x.com/WONKYE0M/status/1800545018052288936","276399399","WONKYE0M"
"1800544839140004019","Tue Jun 11 15:05:16 +0000 2024","0","Emang doyan bgt keknya cari sesuatu yang gada atau jarang tuh ","1800544839140004019","","","in","Jakarta Barat, DKI Jakarta","0","0","0","https://x.com/Vanny_liana/status/1800544839140004019","71177869","Vanny_liana"
"1800493977130692996","Tue Jun 11 15:03:34 +0000 2024","0","@keyy1ta pdahal ada bangku besi Indomaret buat healing","1800544411031568629","","keyy1ta","in","","0","1","0","https://x.com/sterlingmoss62/status/1800544411031568629","1671346976087216130","sterlingmoss62"
"1800543563501166654","Tue Jun 11 15:00:12 +0000 2024","0","ofc buat diri sendiri lah gila emngnya selama ini gua makeup dress up dari atas sampe bawah buat siapa??!!! Seneng aja gitu kalo diri sendiri rapih wangi cakeuppp. Ke Indomaret aja gua mikirin ootd padahal cuman 10 langkah kita gaada yang tau siapa tau dijalan gua ketemu suga","1800543563501166654","","","in","","0","0","0","https://x.com/swg_yoon/status/1800543563501166654","1351114643318693892","swg_yoon"
"1800542053761528078","Tue Jun 11 14:54:12 +0000 2024","0","Want to sell Stray Kids Ultra Milk dan album Photocard Semua pc ultra ada damage Dom jogja bisa shopee https://t.co/Jsd63WtlK2 T. Sell jual wtt skz ultramilk Indomaret indo maret um pc poca oren cari stay ayen butuh bangchan lino leeknow https://t.co/R1m43BmaoP","1800542053761528078","https://pbs.twimg.com/media/GPzPYVOakAAIkdW.jpg","","in","","0","0","0","https://x.com/osw3star/status/1800542053761528078","3288403560","osw3star"
"1800217646329421911","Tue Jun 11 14:48:12 +0000 2024","0","@lunarsun MASA GW MASAK KUDU NGAJAK SEGROUP DULUU MASA GW KE INDOMARET NGAJAK SEGROUPP","1800540542339809643","","lunarsun","in","","0","0","0","https://x.com/noceoura/status/1800540542339809643","1715418201998397440","noceoura"
"1800540137094525074","Tue Jun 11 14:46:35 +0000 2024","0","Deket banget rumah gw... literally tiap hari kalo ke indomaret depan rumah pasti ketemu ibu ini","1800540137094525074","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/Utamakanseblak/status/1800540137094525074","1254663576960110592","Utamakanseblak"
"1800540081020891152","Tue Jun 11 14:46:25 +0000 2024","0","DAN GUE GADA MEGANG CASH SEPESERPUN ANJ salahnya gue kmren tuh lupa daftar mbanking kan krn gue ganti hp.. dan daerah gue ini kbtulan yg atm bca nya di alfa atau indomaret tuh sedikit gt loh..","1800540092559495337","","scheoljpg","in","caratland","0","1","0","https://x.com/scheoljpg/status/1800540092559495337","1738436203928776704","scheoljpg"
"1800539988121313559","Tue Jun 11 14:46:00 +0000 2024","1","tadi sore pulang kantor aku ngeboncengin budhe kantin yg mau belanja ke indomaret. ternyata di saat bersamaan ibuku motornya mogok di jalan terus ditolongin sama orang-orang (bahkan lebih dari satu) ","1800539988121313559","","","in","Yogyakarta","0","1","0","https://x.com/ytcarysa/status/1800539988121313559","117986288","ytcarysa"
"1800074091669663851","Tue Jun 11 14:45:32 +0000 2024","0","@nighhtride aku kalo kesepian nongkrong di Indomaret masa","1800539872907899275","","nighhtride","in","","0","0","0","https://x.com/Fioni__/status/1800539872907899275","936695741338099712","Fioni__"
"1800509562178642242","Tue Jun 11 14:44:30 +0000 2024","1","@iobrn KWKWKS iye masa gw jalan ke indomaret pake baju sablon intro anjg","1800539610587742218","","iobrn","in","𝒖𝒏𝒍𝒂𝒃𝒆𝒍𝒆𝒅","0","0","0","https://x.com/C1VILIGHT/status/1800539610587742218","1788201467461206016","C1VILIGHT"
"1800539471315980681","Tue Jun 11 14:43:57 +0000 2024","1","Orang mental miskin ngemis gini emang annoying njir. Pernah kan aku ke indomaret trs di depannya banyak anak punk gembel gitu minta2 uang buat makan aku diem aja ga ku kasih. Pas keluar mereka liat aku bawa popmie trs salah satu bocah tu bilang (cont-)","1800539471315980681","","","in","","0","1","0","https://x.com/dhitayang/status/1800539471315980681","451948764","dhitayang"
"1800538410744197260","Tue Jun 11 14:39:44 +0000 2024","0","gue udh nyari pillows keju ke 3 indomaret tp ga ketemu jdinya beli ini aja lumayan promo bohongan +6000 dapat 2 https://t.co/Fx3grB2Mma","1800538410744197260","https://pbs.twimg.com/media/GPzMIziboAAl1J8.jpg","","in","","0","0","0","https://x.com/jaehyunonly_/status/1800538410744197260","1607176923280740353","jaehyunonly_"
"1800538342452572178","Tue Jun 11 14:39:27 +0000 2024","0","momen kehujanan + kekunci di luar rumah ngetem di depan indomaret lebih aman https://t.co/6OtGDQzynp","1800538342452572178","https://pbs.twimg.com/media/GPzME1wa0AAzNhv.jpg","","in","Kota Medan, Sumatera Utara","0","0","0","https://x.com/enambungkus/status/1800538342452572178","1440255688698068992","enambungkus"
